jahr,januar,februar,maerz,april,mai,juni,juli,august,september,oktober,november,dezember,gesamt
2015,263,241,220,223,188,146,227,190,187,187,203,184,2459
2016,201,211,200,227,188,202,174,183,177,200,199,199,2361
2017,232,209,239,177,238,174,169,157,191,196,194,182,2358
2018,232,201,286,215,190,153,192,189,180,188,189,170,2385
2019,220,193,225,224,224,161,184,212,177,195,188,228,2431
2020,220,182,228,210,196,206,202,222,208,182,196,234,2486
2021,239,207,226,226,188,186,191,201,197,201,220,235,2517
